product_id,product_name,category,unit_price,stock_quantity,reorder_level,date_added,description
PROD_001,iPhone 14,Electronics,999.99,50,10,2025-11-08,iPhone 14 - High quality product
PROD_002,Samsung Galaxy S23,Electronics,899.99,45,10,2025-11-08,Samsung Galaxy S23 - High quality product
PROD_003,MacBook Pro,Electronics,1999.99,20,5,2025-11-08,MacBook Pro - High quality product
PROD_004,Nike Air Max,Clothing,149.99,100,20,2025-11-08,Nike Air Max - High quality product
PROD_005,Adidas Sneakers,Clothing,129.99,80,15,2025-11-08,Adidas Sneakers - High quality product
PROD_006,Levi's Jeans,Clothing,79.99,60,15,2025-11-08,Levi's Jeans - High quality product
PROD_007,Coffee Maker,Home,89.99,30,5,2025-11-08,Coffee Maker - High quality product
PROD_008,Wireless Headphones,Electronics,199.99,75,15,2025-11-08,Wireless Headphones - High quality product
PROD_009,Yoga Mat,Sports,29.99,40,10,2025-11-08,Yoga Mat - High quality product
PROD_010,Water Bottle,Sports,19.99,119,25,2025-11-08,Water Bottle - High quality product
PROD_0011,chepies,Food,0.5,71,20,2025-11-08,bought from maseru cash & carry
